Deportista,Carbohidratos (g),Proteínas (g),Grasas (g),Vitamina D (µg),Vitamina B1 (mg),Vitamina B2 (mg),Vitamina B3 (mg),Vitamina B6 (mg),Vitamina B7 (µg),Vitamina B9 (µg),Vitamina B12 (µg),Vitamina C (mg),Vitamina E (mg),Minerales (mg),Hierro (mg),Calcio (mg),Magnesio (mg),Zinc (mg),Sodio (mg),Potasio (mg)
Athlete01,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete02,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete03,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete04,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete05,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete06,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete07,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete08,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete09,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete10,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete11,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete12,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete13,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete14,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete15,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete16,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete17,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete18,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete19,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
Athlete20,300,150,70,15,1,1,16,1,30,400,2,90,15,100,18,1000,400,11,2300,4700
